"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"0500000US01001","Autauga County, Alabama","5476","563","397","175","454","168","578","193","850","341","897","321","140","90","228","129","237","141","892","263","803","223",
"0500000US01003","Baldwin County, Alabama","20094","1114","592","220","1442","349","2375","586","2663","688","1628","388","1527","382","1142","283","2053","628","4227","704","2445","508",
"0500000US01005","Barbour County, Alabama","3158","288","126","66","232","98","417","168","464","164","242","128","163","92","253","135","213","115","456","126","592","169",
"0500000US01007","Bibb County, Alabama","1751","343","76","80","192","127","38","39","232","132","52","41","68","49","4","7","264","217","381","176","444","182",
"0500000US01009","Blount County, Alabama","4482","511","214","103","345","138","587","219","354","141","347","148","273","141","290","130","294","152","800","231","978","275",
"0500000US01011","Bullock County, Alabama","1219","167","73","54","99","80","181","121","78","82","37","38","30","50","27","43","49","57","302","142","343","130",
"0500000US01013","Butler County, Alabama","2084","245","101","64","206","87","212","89","115","48","228","103","138","61","107","60","114","62","472","140","391","88",
"0500000US01015","Calhoun County, Alabama","12999","797","651","232","1304","317","1739","363","1296","343","1336","322","877","269","753","273","916","253","2783","429","1344","255",
"0500000US01017","Chambers County, Alabama","3657","418","253","124","499","180","584","214","458","246","217","111","187","101","251","163","192","96","533","169","483","179",
"0500000US01019","Cherokee County, Alabama","2025","386","82","58","174","92","180","72","98","52","245","116","71","54","182","109","191","107","96","64","706","244",
"0500000US01021","Chilton County, Alabama","4231","447","438","204","414","173","618","243","648","283","289","137","160","105","164","111","151","76","475","186","874","265",
"0500000US01023","Choctaw County, Alabama","942","205","83","59","62","56","95","86","57","38","48","47","51","66","1","3","70","59","170","84","305","117",
"0500000US01025","Clarke County, Alabama","2272","342","134","116","238","110","155","80","36","35","103","71","158","99","57","48","205","143","310","116","876","267",
"0500000US01027","Clay County, Alabama","1188","182","58","46","137","91","178","90","172","100","116","74","154","77","78","54","19","19","119","65","157","71",
"0500000US01029","Cleburne County, Alabama","1265","209","80","66","21","23","194","75","138","81","121","91","92","77","125","69","83","62","93","54","318","156",
"0500000US01031","Coffee County, Alabama","6218","474","305","144","673","163","831","190","861","224","748","220","321","107","252","107","410","136","1129","221","688","170",
"0500000US01033","Colbert County, Alabama","6746","609","256","118","678","214","759","262","568","197","764","256","511","221","372","163","564","224","1142","341","1132","327",
"0500000US01035","Conecuh County, Alabama","1127","209","27","33","68","48","28","39","151","141","198","103","18","23","36","39","107","95","183","108","311","128",
"0500000US01037","Coosa County, Alabama","750","148","52","39","22","22","40","29","69","69","69","48","34","36","135","88","58","49","28","25","243","87",
"0500000US01039","Covington County, Alabama","3552","397","160","107","201","89","360","105","308","96","275","92","337","145","112","57","174","76","756","171","869","228",
"0500000US01041","Crenshaw County, Alabama","1230","197","150","84","217","91","103","55","67","48","103","54","40","33","31","25","60","41","239","95","220","65",
"0500000US01043","Cullman County, Alabama","8009","653","330","149","921","272","1317","285","814","249","781","238","570","212","340","109","474","154","1321","236","1141","252",
"0500000US01045","Dale County, Alabama","7731","461","282","109","868","163","1150","234","1210","244","706","216","697","228","336","117","478","157","1220","262","784","202",
"0500000US01047","Dallas County, Alabama","5693","451","336","140","334","122","384","156","576","198","615","218","235","119","540","207","301","136","1513","351","859","236",
"0500000US01049","DeKalb County, Alabama","6716","547","165","82","720","221","809","244","499","156","646","205","520","177","292","155","229","92","1275","281","1561","314",
"0500000US01051","Elmore County, Alabama","7372","626","383","213","744","244","944","284","867","298","645","268","480","174","517","216","618","279","1311","295","863","211",
"0500000US01053","Escambia County, Alabama","4278","434","166","81","313","128","385","136","310","128","501","155","173","72","237","152","376","194","702","219","1115","273",
"0500000US01055","Etowah County, Alabama","10337","548","615","178","953","224","1370","304","966","205","885","222","752","183","475","184","883","239","2182","358","1256","226",
"0500000US01057","Fayette County, Alabama","1484","227","35","30","181","131","161","96","190","100","128","86","196","104","26","34","39","35","309","140","219","99",
"0500000US01059","Franklin County, Alabama","3008","412","185","122","434","199","439","204","461","190","146","62","101","76","139","83","190","139","384","158","529","179",
"0500000US01061","Geneva County, Alabama","2521","335","55","42","144","68","202","101","249","122","447","142","140","70","44","30","162","77","549","192","529","180",
"0500000US01063","Greene County, Alabama","760","187","0","18","10","16","114","94","4","6","77","62","50","65","79","71","19","24","100","81","307","124",
"0500000US01065","Hale County, Alabama","1216","242","38","54","106","80","86","61","69","56","56","43","63","49","241","206","54","43","225","105","278","135",
