"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"0500000US01001","Autauga County, Alabama","5715","482","218","121","395","165","498","170","850","258","557","249","432","182","112","59","400","180","1443","272","810","299",
"0500000US01003","Baldwin County, Alabama","20034","966","717","268","1491","382","2484","426","2391","361","2115","411","1657","361","1115","293","1573","399","3792","589","2699","492",
"0500000US01005","Barbour County, Alabama","3654","283","170","75","280","98","350","121","426","123","286","98","250","104","139","73","323","118","755","149","675","154",
"0500000US01007","Bibb County, Alabama","1763","291","112","66","246","129","94","85","108","71","163","93","113","72","77","67","114","102","379","187","357","134",
"0500000US01009","Blount County, Alabama","4424","421","214","125","356","131","342","118","582","207","352","144","329","125","231","101","228","110","683","207","1107","267",
"0500000US01011","Bullock County, Alabama","1017","268","17","22","7","13","139","115","97","80","103","99","63","61","29","36","34","40","292","181","236","118",
"0500000US01013","Butler County, Alabama","1955","205","179","93","205","76","192","64","115","54","127","55","177","76","66","40","129","69","299","105","466","126",
"0500000US01015","Calhoun County, Alabama","13351","615","913","236","1298","291","1813","329","1242","294","1131","238","935","194","795","228","942","229","2660","356","1622","244",
"0500000US01017","Chambers County, Alabama","4376","351","340","118","701","225","676","218","261","131","357","154","203","98","309","107","220","108","652","148","657","162",
"0500000US01019","Cherokee County, Alabama","2433","327","234","120","271","115","222","109","186","102","131","84","119","78","150","108","197","99","245","105","678","229",
"0500000US01021","Chilton County, Alabama","4317","473","193","145","410","176","378","157","344","192","587","245","434","186","204","109","198","131","699","223","870","234",
"0500000US01023","Choctaw County, Alabama","1012","176","42","31","87","57","76","54","20","17","50","32","38","26","130","94","87","51","123","69","359","112",
"0500000US01025","Clarke County, Alabama","2718","316","172","134","257","126","179","110","127","99","189","93","152","120","93","74","135","75","278","114","1136","215",
"0500000US01027","Clay County, Alabama","1276","214","42","33","139","79","154","85","218","120","147","72","86","53","35","31","69","56","128","66","258","93",
"0500000US01029","Cleburne County, Alabama","1356","192","44","36","84","55","292","102","144","72","104","67","73","51","95","54","81","73","120","58","319","114",
"0500000US01031","Coffee County, Alabama","6825","438","272","92","611","150","1052","209","1112","227","623","216","429","137","430","134","381","134","1188","255","727","134",
"0500000US01033","Colbert County, Alabama","6084","485","222","87","549","150","524","174","669","172","525","148","396","137","422","128","572","180","1078","248","1127","230",
"0500000US01035","Conecuh County, Alabama","1088","253","36","29","45","53","60","63","193","164","226","122","16","17","18","21","112","125","100","82","282","99",
